Removed Pin From Net: NetName=NetC11_2 Pin=P1-1
Removed Pin From Net: NetName=NetC18_2 Pin=R23-1
Removed Pin From Net: NetName=NetJ3_1 Pin=R23-2
Removed Pin From Net: NetName=+3.3V Pin=U6-3V3
Change Component Footprint: Designator=R23 Old Footprint=AXIAL-0.3 New Footprint=FP-RLR07-MFG
Change Component Footprint: Designator=C18 Old Footprint=FP-ECQ-E2564KB-MFG New Footprint=FP-0805-L_2_01_0_2-W_1_25-IPC_B
Change Component Footprint: Designator=R22 Old Footprint=RESC2013X60X35ML10T20 New Footprint=FP-RLR07-MFG
Change Component Footprint: Designator=R24 Old Footprint=RESC2013X60X35ML10T20 New Footprint=FP-RLR07-MFG
Change Component Comment : Designator=R22 Old Comment=0.33 New Comment=0.82
Change Component Comment : Designator=R24 Old Comment=0.33 New Comment=0.82
Change Component Comment : Designator=C18 Old Comment=Desacople New Comment=100nF
Change Component Comment : Designator=R23 Old Comment=Res1 New Comment=50
Change Managed Component Library Link : Designator=C18 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7F4C8989-9B19-4A25-BA46-178DCB591BB9 New ItemGUID=E2EE568E-80F5-4E75-9993-04A9240C8893 Old RevisionGUID=652F3B4B-98C4-43A5-8A9D-9FBFD8357A2A New RevisionGUID=87FDDD26-1839-4D16-AA1A-D40C33CE3995
Change Managed Component Library Link : Designator=R22 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9BBD9324-2FD9-4648-9CB9-4BA0FDCD0C55 New ItemGUID=D703E33F-8A88-424E-AB98-75395ECEAC19 Old RevisionGUID=0D350E83-63D1-4819-BF21-6329E1110050 New RevisionGUID=FF7D42CD-0C68-4FA9-A32F-7024541E8868
Change Managed Component Library Link : Designator=R24 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9BBD9324-2FD9-4648-9CB9-4BA0FDCD0C55 New ItemGUID=D703E33F-8A88-424E-AB98-75395ECEAC19 Old RevisionGUID=0D350E83-63D1-4819-BF21-6329E1110050 New RevisionGUID=FF7D42CD-0C68-4FA9-A32F-7024541E8868
Change Managed Component Library Link : Designator=R23 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D703E33F-8A88-424E-AB98-75395ECEAC19 Old RevisionGUID= New RevisionGUID=FF7D42CD-0C68-4FA9-A32F-7024541E8868
Change component parameters: Designator = "C18" ("C18"); Footprint = "FP-ECQ-E2564KB-MFG"; UniqueID = "\JKJGBMSS\MABLQARV" ("\JKJGBMSS\MABLQARV")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "2.01mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.055inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
